haiku,summary
"dark lamp shade--
squinting her eyes in low light
to read your letter","Reading a letter in dim light.
"
"ebb tide --
a photo of a missing girl
flutters in the breeze","A missing girl's poster is found at the beach, disturbed by the wind.
"
"he peeks through windows
for socks of dreaming children
to give them surprise","A magical being secretly gifts dreaming children with socks.
"
"wine drinks decoctions
soups stews broths mousse and puddings
sweet sour all for you","A variety of foods and drinks, both sweet and sour, offered to someone.
"
"and fills the lost ring's
hollow with life's most lasting
part cries for new love","A lost ring is found and filled, symbolizing enduring love and a yearning for new romance.
"
"who shot the arrow
the poet-priest milman
or southey or barrow","A question about the authorship of an arrow.
"
"in the quiet garden world
gold sunlight and shadow leaves
flicker on the wall","Sunlight and shadows play on a wall in a peaceful garden.
"
"profound stillness clouds
and trees collect on the pond
which way up which down","A still pond reflects the sky, blurring the line between reality and its reflection.
"
"rain in the morning
soft beginning of the day
inviting stillness","A peaceful, rainy morning.
"
"my mother told me
that a yellow sunset means
hard wind is coming","A mother's weather prediction based on sunset color.
"
"clouds hang on bare trees
but the snow on the mountains
is a white blessing","Winter landscape offers a stark contrast, with heavy clouds and bare trees below snow-covered mountains.
"
"in the cold season
a jewel jam is an aid
to my freezing heart","Jam warms a cold heart.
"
"can you see the ray
if you can see it you will
soon find your true love","Seeing the ray leads to finding true love.
"
"like a summer breeze
blue sky landing in my heart
a cloud with feathers","A serene summer moment evokes feelings of peace and lightness.
"
"the morning sunrise
so beautiful to behold
glowing breath of light","A beautiful sunrise.
"
"in the summer heat
like hot coals under your feet
where sun and sand meet","The haiku describes the intense heat experienced at the beach during summer.
"
"in sowing questions
for which there are no answers
she's finding her peace","Finding peace in the questioning, despite unanswered questions.
"
"deep in the darkness
fly all things that we most fear
lose them in the light","Hidden fears dissipate in the light.
"
"a blue note resting
in a line of green music
sweet and clear and high","A solitary, beautiful sound within a harmonious melody.
"
"an object light skin
wearing the august sun as
a silver garland","A pale object adorned with sunlight.
"
"dancing on water
in shimmering summer shades
we swim through the sky","A summer scene of swimming that feels like flying.
"
"sunset on the hill
lights the end of autumn day
with glowing sunrays","Autumn day's end, sunset's glow on a hill.
"
"through the tree shadows
swimming on the sparkling lake
in last light of day","Swimming in a lake as sunlight fades through the trees.
"
"swans rest together
in the evening star sunset
until darkness falls","Swans peacefully rest at sunset until night.
"
"darkness has a light
when we look through the shadows
for love we may seek","Love can be found even in dark times if you look for it.
"
"white barn owl i held
heart shaped face and beautiful
looked at me with peace","A peaceful encounter with a beautiful barn owl.
"
"how green is my land
spring now bursting with fresh life
trees with new leaves hang","Spring's vibrant renewal of nature.
"
"clouds at sunset time
hide the dying gold sun rays
shine as magic lights","Sunset clouds create magical light.
"
"heaven meets the earth
sky blue with white clouds sailing
jewelled with silver","A beautiful sky connects heaven and earth.
"
"like a ship sailing
on the sea to distant lands
looking out on bay","A ship's journey across the sea, viewed from a bay.
"
"light on the mountains
shadows in the green valleys
grey clouds in the sky","A landscape of light, shadow, and clouds.
"
"grey clouds in the sky
silver blue waters in pool
shadows reflecting","A still moment reflecting the sky in water.
"
"lake of magic tales
light of heaven shining here
with soft autumn shades","A serene lake reflects heavenly light amidst autumn's gentle hues.
"
"green gold autumn hues
shadows long with sun so low
distant sea and sky","Autumnal landscape with long shadows under a low sun, where the land meets the sea and sky.
"
"restless clouds dancing
copper and jade trees sailing
mirror of the lake","Nature's reflection in a lake on a windy day.
"
"dark shadows shining
shadows of gold and green shades
shadows of trees glow","Light and shadow interplay in a forest.
"
"stillness in the air
snow carpeting the green fields
grey light shines from sky","A quiet winter scene with snow covering fields under a grey sky.
"
"the old oak tree stands
protecting and sheltering
with its outstretched arms","An old oak tree offers protection.
"
"celebrate easter
resurrection from the earth
the gifts of new life","Easter's celebration of resurrection and new life.
"
"snow covers the floor
no roof to protect from storms
shelter from stone walls","Finding refuge in stone walls amidst a snowstorm.
"
"in serene silence
where buzzards soar in the sky
the white summer house","A peaceful summer scene with buzzards flying above a white house.
"
"new foal of pure gold
spirit of the high mountains
so wild and carefree","A golden foal embodies the untamed spirit of the mountains.
"
"reaching to heaven
clouds of white billowing mists
so far yet so near","Reaching for the sky, like clouds, with a sense of distance.
"
"feathers of soft silk
colours of clouds in the sky
silence of the swans","A peaceful image of swans with soft feathers and cloud-like colors, creating a silent and serene atmosphere.
"
"its called a gods sky
when sun rays escape through clouds
as if from heaven","Sunlight breaking through clouds is likened to a divine, heavenly scene.
"
"when shadows begin
to eat the light at sunset
darkness will swallow","The haiku describes the transition from light to darkness at sunset.
"
"her walls still hold on
to years of being a home
refusing to fall","A house, though old, stubbornly stands.
"
"she put a long tub
in the rose bed for herself
to soak at sunset","A woman relaxing in a tub among roses at sunset.
"
"she spends time peeping
looking out windows and doors
watching the neighbors","A woman observes her neighbors.
"
"sunrise or sunset
the two are the same as one
both do a light show","Sunrise and sunset are two sides of the same coin, both beautiful displays of light.
"
"the old rusted truck
still wants to run in spite of
snow ice slush and sleet","An old truck perseveres despite harsh weather.
"
"the old train car seemed
to be announcing that yes
red suits a caboose","A red caboose stands out on an old train car.
"
"moss speaks in colors
touch of green says winters time
will soon be ending","Moss hints at the end of winter with its green color.
"
"the snowman held on
getting smaller and smaller
refusing to melt","A snowman stubbornly resists melting despite the warmer weather.
"
"she built her nest low
on a split rail fence of grapes
tucked under the leaves","A bird builds its nest on a grape vine fence, hidden by leaves.
"
"it still dont seem right
seven old men with a girl
who does all the chores","Unease lingers in a scene of an old men group and a girl burdened with chores.
"
"i would walk these stairs
just for the joy of color
and the rainbows end","Finding joy and beauty in the simple act of walking stairs, perhaps drawn by the promise of something magical.
"
"what must sea ones think
to see the strange lights drop down
into their dark world","A reflection on the perspective of sea creatures observing human activity.
"
"a crossing of lights
a pair of bold bright colors
does x mark the spot","Intersection of colors, hinting at a hidden location.
"
"chubby-cheeked angels
sing for their wine and supper
glorious delight","Angels sing for food and wine, a joyful scene.
"
"mysterious marks
try to hide an outlaw kick
creating odd art","Graffiti as outlaw art.
"
"tin within tin rust
makes a big difference to
the blind-staring eye","Rust accumulating between layers of metal subtly alters perception.
"
"always womens work
grandmother mother and me
keeping the world clean","Generational female labor of maintaining cleanliness.
"
"the red ties all of
this street-side scene together
such a nice gesture","A red tie unifies a street scene, creating a pleasant feeling.
"
"a mysterious
stair  scene from last nights dream  stops
before ground is reached","A dreamlike, unfinished staircase.
"
"new mexican spring
appearing on both sides of
screen as expected","Spring in New Mexico is predictably visible on both sides of a screen.
"
"the cost of doing
business means keeping buildings
through the off season","Businesses face costs even when inactive.
"
"sea spray on the glass
served to turn the view into
a water color","Sea spray transforms a window view into a watercolor painting.
"
"calming properties
of blue lured them until they
forgot how to see","Blue's allure blinds, causing a loss of perception.
"
"would a mirror have
a crack to match the one thats
bisecting the wall","A broken wall prompts reflection on whether a mirror would mirror that brokenness.
"
"the carnival ride
had a bit of a stutter
glad i was grounded","A carnival ride malfunctions, prompting relief at being on solid ground.
"
"my friend bonnie said
this is abstract art in the
sky shes right of course","A friend observes abstract art in the sky.
"
"turquoise doors and trim
seem less hopeful since fading
peeling have set it","Faded paint on doors diminishes hope.
"
"this thing i dont know
what it is  other than creepy
get me out of here","The speaker is encountering something unknown and creepy and wants to escape.
"
"night lights at grave site
comfort the living the dead
may not have noticed","The living find solace in grave site lights, while the dead are indifferent.
"
"a desolate place
i stood on the porch to watch
the road it felt right","A lone observer finds solace in a desolate landscape.
"
"she's plucking eyebrows
from the wall mirror like an
escher drawn escher","A woman's eyebrow plucking is compared to an Escher drawing.
"
"what wind finds you here
begging shadows, coins tapping
songs for an alley","A lonely person/beggar in an alley seeks solace in the wind and music from coins.
"
"rabbits at market,
their furs pulled off like mittens?
shiny, newborn limbs.","A stark contrast between dead rabbits and newborn limbs evokes a sense of mortality and vulnerability.
"
"not willing to leave
this imperfect nest, this bird
has so much to learn.","A young bird hesitates to leave its nest, despite needing to learn to fly.
"
"curvaceous woman
vibrates at the edge of you
a dark, sultry lie","A seductive and deceptive woman.
"
"fading oil worker
bedded now, and filled with tar
counting his regrets","An aging oil worker reflects on past regrets.
"
"lazy river . . .
drifting toward the equinox
on an inner tube","Floating on a river towards the change of seasons.
"
"a wash of daisies
along the cliff top . . .
the whales give a blow","Whales spouting near daisies on a cliff.
"
"the polished surface?
a white heron hesitates
to put its foot down","A heron pauses before stepping onto a reflective surface.
"
"coughing and spitting
into the morning glories
then off to work again","A worker clears their throat before starting the day.
"
"a great blue heron
wading through autumn colors
one step at a time","A heron slowly moves through colorful autumn.
"
"The chatter of the
passersby, Is dulled beneath
the grey unquiet sky.","A noisy street scene is muted by a gloomy, overcast sky.
"
"The dogs were handsomely
provided for, But shortly afterwards
the parrot died too.","Pets are cared for, but one unexpectedly dies.
"
"And in that Heaven
of all their wish, There shall be
no more land, say fish.","A wish for a heaven where fish replace land.
"
"Into the night, and
on, The strength and splendour of
our purpose swings.","A powerful purpose persists through the night.
"
"Where flies our flag is
Freedom's holy ground; There, it unfurls
all benisons to Man.","The American flag represents freedom and blessings wherever it flies.
"
"The old man fed his
life On the beauty of his vase,
on its perfect shape.","An old man cherishes the beauty of his vase, finding sustenance in its perfect form.
"
"A clod rolled down, and
his foot slipped back, And he lurched
with a cry of pain.","A fall and resulting pain.
"
"She darted her hand
out, and seized the thick Wriggling
slime, Only just in time.","A quick grab of something slimy.
"
"I feel so well and
happy to-day, I think I shall
take a Holiday.","The speaker feels happy and decides to take a holiday.
"
"The Auctioneer said
one could seldom buy Such watches,
and the prices were high.","Expensive watches are being auctioned.
"
"As a monk who prays""
A Tale of Starvation: ""And
he neither eat nor drank.","A praying monk starves himself.
"
"The mule, lashed into
a fury, ran; The fool went back
to his stone and swore.","A mule, angered, runs off while a fool stubbornly returns to his task.
"
"But on the far side
is a city whose windows flame
gold in the sunset.","A distant city glows golden in the sunset.
"
"Blue through the window
burns the twilight; Heavy, through trees,
blows the warm south wind.","Warm wind blows as twilight fades, seen through a window.
"
"I felt your clinging
hands while night's broad wings Cherished
our love in darkness.","Love and intimacy embraced by the night.
"
"Slipping softly through the
sky Little horned, happy moon, Can you
hear me up so high?","A small, horned moon is addressed in the night sky.
"
"I went out and looked
towards the east, While tears fell
and wetted my clothes.","Tearful gaze eastwards.
"
"She knelt down and asked
her former husband “What do you
find your new wife like?","A woman asks her ex-husband about his new wife.
"
"In a moment the
sun will rise in the east And
then _it_ too will know.","The sun rising will reveal something.
"
"Their long cries enter the
blue clouds; Their flapping wings
tirelessly beat and throb.","Birds flying high and tirelessly.
"
"Me no magical
arts can save, Though you may hope
for a wizard’s aid.","Magic can't help, despite hope.
"
"Since the day that I
was joined to you We have shared
all our joys and pains.","A bond shared through joy and sorrow.
"
"His old poems are deep
in dust At the bottom of
boxes and cupboards.","Forgotten poems in storage.
"
"Goddess of morning,
Aurora, as friend of my
muse I once knew you.","A lament for a lost connection with the inspiration once found in the goddess of dawn.
"
"Why do dentists try
 to talk to you when they have
their hands in your mouth","The haiku humorously questions dentists' tendency to talk while their hands are in a patient's mouth.
"
"Welcome to Spruce Grove
 Gene I thought I smelled something
PUNgent in the air","A humorous welcome to Spruce Grove, noting a strong, possibly unpleasant, odor.
"
"Persistence is to
 the character of man as
carbon is to steel","Persistence strengthens character like carbon strengthens steel.
"
"In honour of my
 birth month i expect some bomb
ass cunnilingus","A birthday wish for oral sex.
"
"why do basic clothes
 look good on others while they
look like trash on me","Insecurity about clothing fit and appearance.
"
"On Easter two words
 you can say to Jesus if
you know what i mean","A suggestive, reverent message for Jesus on Easter.
"
"She deserves the world
 and not this bullshit that they
are putting her through","She's going through unfair hardship.
"
"the moon reminds me
 of him i still love him and
nothing can change that","Unwavering love is reflected in the moon.
"
"I want an honest
 relationship No lies no
mind games no cheating","Desire for a truthful and faithful relationship.
"
"I swear bored eating
 wasn't a real thing until
I got to college","College makes food boring.
"
"As Mark Zuckerberg
 would say research of knowledge
leads to delusion","Seeking knowledge can lead to delusion.
"
"Didn't know getting
 lost in the blue It meant I
wound up losing you","Lost in blue, lost you too.
"
"My cat is always
 by my side when I'm in bed
He's so supportive","A supportive cat stays by the speaker's side in bed.
"
"Who knew that picking
 a carpet colour would be
so stressful MY GOD","Choosing a carpet color is surprisingly stressful.
"
"Twitter brought back my
 favorite filter and I
don't know how to act","Overjoyed by the return of a beloved filter on Twitter.
"
"Been a mamas boy
 Y'all trifling and be putting
on for mother day","A ""mama's boy"" criticizes others for insincere Mother's Day displays.
"
"I told myself that
 I wouldn't be scared but I
still having nightmares","Facing fears and failing to overcome them leads to recurring nightmares.
"
"I bear greetings as
 well as a dance of friendship
on behalf of friend","A friendly greeting and dance are offered.
"
"Hey you all answer
 to this question please Do you
like my profile pic","Asking for feedback on a profile picture.
"
"Taking your ex back
 is like trying to put poop
back into your butt","Taking an ex back is a bad idea.
"
"My doctor says I
 can start on T blockers next
month So yay for that","Excitement about starting T blockers soon.
"
"If I never sell
 a record or a song in
da trap I went gold","Despite lacking commercial success, the speaker feels successful (""went gold"") within their own environment (""da trap"").
"
"Heh I'm wondering
 how it feels like to have a
daughter or a son","The speaker contemplates the feeling of having a child.
"
"Husband just bought me
 a ticket as a surprise
so I have to go","Surprise gift of a ticket leads to an obligation.
"
"Starting to think my
 cat needs a vet and isn't
being an asshole","A cat's unusual behavior suggests a possible health issue, not just bad temper.
"
"i watched love simon
 yesterday and it was SO
GOOD i love jesus","Enjoyed watching ""Love, Simon"" and expresses love for Jesus.
"
"what if your blessings
 come through raindrops what if your
healing comes through tears","Blessings and healing can come from sadness.
"
"Books to the ceiling
 books to the sky my pile of
books is a mile high","A vast collection of books.
"
"Says here your hobbies
 are women girls and chicks And
babes don't forget babes","The author lists women, girls, and babies as hobbies.
"
"has absolute right
 to keep his underpants clean
too Does he do it","The haiku questions whether ""Haiku"" keeps his underpants clean.
"
"I didn't believe
 the rumors at first but now
I can see they're true","Rumors are confirmed to be true.
"
"just had the fattest
 panic attack and now I
just want to go home","A person wants to go home after a panic attack.
"
"Lord I'm craving a
 chicken box lord why are you
doing this to me","A person intensely craves a chicken box.
"
"The new National
 Industrial Court in Port
Harcourt is nice sha","A positive observation about the new National Industrial Court in Port Harcourt.
"
"I posted on your
 wall No not Facebook look at
the side of your house","A message is left on the side of the recipient's house, not on Facebook.
"
"Just because i am
 a princess doesn't mean i
don't care for peasants","A princess cares for the common people despite her status.
"
"Y'all I almost died
 on the road and instead of
getting shook I laughed","A near-death experience on the road is met with laughter instead of fear.
"
"Don't know if being
 turned into a parking lot
is less indignant","Contemplating whether becoming a parking lot is less offensive than something else.
"
"Let me pretend to
 start on this essay for the
third night in a row","Procrastinating on an essay for the third night.
"
"It's the regular
 season The objective is
to play to win games","Playing to win during the regular season.
"
"Love isn't suppose
 to hurt but it does come with
occasional pain","Love sometimes involves pain.
"
"I made a mistake
 carrying my iced coffee
out into the snow","Iced coffee and snow don't mix well.
"
"Just because you gave
 birth to a child it doesn't
make you a mother","Biological birth doesn't guarantee motherhood.
"
"Thou shall not disturb
 a book lover when he she
is reading a book","Respect a reader's quiet time with their book.
"
"Chugging a cup of
 coffee before I try to
lay down for a nap","A person drinks coffee before attempting a nap.
"
"You can put dinner
 on to cook yet nine tenths of
the population","Cooking dinner while most people are elsewhere.
"
"Im always freezing
 when I go to bed but I
still never wear pants","A person who is always cold in bed refuses to wear pants.
"
"Attempting to watch
 Forrest Gump from beginning
to end Wish me luck","Someone is about to watch the entire movie Forrest Gump.
"
"honeydew melon
 is so good I know I'm late
but I was just blessed","The speaker was delayed because they were savoring a delicious honeydew melon.
"
"Following AS smears
 they had to find something else
to manufacture","A company seeks a new product after AS smears.
"
"It is better to
 suffer for waiting than to
suffer for rushing","Patience is preferable to recklessness.
"
"Of course She started
 out with good genetics from
her handsome father","A woman's good looks are attributed to her father's genetics.
"
"Y'all be letting them
 followers get to y'all head
it's just Twitter damn","Don't let Twitter followers inflate your ego.
"
"things in life happen
 for a reason just follow
the signs and trust him","Trust in a higher power and follow signs in life.
"
"experience the
 heart break in my eyes when I
didn't get my fries","A deep disappointment over missing french fries.
"
"So tempted to buy
 a check skirt but don't know if
I can pull it off","A person is hesitant to buy a skirt they like, unsure if it suits them.
"
"When You Believe The
 Lie Of Others You Ignore
The Truth In Your Heart","Self-deception hides inner truth.
"
"Flyers have a good
 goal song They always seem to
have a good goal song","The Flyers have a good goal song.
"
"tomorrow is the
 last day to withdraw from a
class don't play yourself","Deadline to drop a class is near, avoid regret.
"
"Hate yourself but not
 your life If you keep hurting
your life I'll take it","A warning against self-destruction, valuing life despite self-hate.
"
"my intrusive thoughts
 are coming back and they are
going off this time","A struggle with recurring and intensifying intrusive thoughts.
"
"Beautiful music
 I hope this goes to number
one or at least charts","Hoping for a song's success.
"
"Sometimes I look up
 at the stars and think damn I
love pissing outside","A person enjoys urinating outdoors while admiring the stars.
"
"No matter how bad
 your kid is he's still good for
a tax exemption","A tax benefit softens the blow of a difficult child.
"
"MOOD driving late at
 night with no destination
while blasting music","A nighttime drive with music and no particular place to go.
"
"Getting my nails done
 was such a relief now I
can finish my work","Getting nails done provided a relaxing break, enabling a return to work.
"
"im waking up to
 ash and dust i wipe my brow
and i slap my nuts","Waking up in a gritty, unpleasant environment and a crude, physical reaction.
"
"In hospital right
 now just waiting for my dad
to finish his scan","A person waits in a hospital for their father to finish a scan.
"
"My blood is boiling
 and I'm shaking because I'm
so fucking pissed off","Intense anger and agitation.
"
"The War on Christmas
 is my favorite thing the
internet made up","A humorous take on the internet's creation of the ""War on Christmas"" narrative.
"
"the best feeling is
 staying up all night playing
sims with ur lover","A cozy night of playing Sims with a loved one.
"
"This drink is giving
 me headache What did these ones
put inside Hey God","A bad drink causes a headache, prompting a complaint to God.
"
"Liverpool fans are
 a weird breed of football fan
Always the victim","Liverpool fans perceive themselves as perpetual victims.
"
"sometimes you feel loved
 in return other times it
just doesn't happen","Love is not always reciprocated.
"
"When you decide to
 trust God you reduce a lot
of stress in your life","Trusting God eases life's stresses.
"
"Food poisoning is
 the norm in the West they've been
doing it for years","Food poisoning in the West.
"
"I am not prepared
 for this season to end I
NEED IT TO GO ON","A plea for the current season to continue.
"
"Thank you for posting
 I always return to the
brilliance and heart of","Appreciation for a post's brilliance and heart, prompting a return.
"
"Having a nightmare
 that makes you cry in your sleep
wake up are the worst","Waking up from a nightmare is the worst.
"
"APPLYING FOR JOBS
 MOTIVATION HAS HIT ME
HARD WHAT IS MY LIFE","A person's struggle with motivation while applying for jobs and questioning their life.
"
"in my personal
 account highlighting stories
does not work please help","A problem with highlighting stories in a personal account.
"
"Oh dear me Labour
 and Conservatives are not
going to like this","A political observation likely critical of both Labour and Conservative parties.
"
"Trump is making things
 worst he has to change himself
or world will change him","Trump needs to change, or the world will change him.
"
"hawk feet parrot feet
 X X know the difference
it could save your life","Knowing the difference between hawk and parrot feet is crucial for survival.
"
"WE TRY TO APPLY
 THE NEWEST TECHNIQUES IN PET
GROOMING AND STYLING","New pet grooming.
Modern techniques are applied.
Stylish pets result.
"
"Yes My sister makes
 it like this and it tastes so
wrong with butter now","A sibling dislikes butter on their sister's cooking.
"
"Who does Cohen call
 when he needs a lawyer Hope
he she gets paid well","Cohen needs a lawyer and hopes they're compensated fairly.
"
"House Intelligence
 Committee ends russia witch
hunt NO COLLUSION","The House Intelligence Committee concluded its investigation, finding no collusion with Russia.
"
"I just like spending
 time with you and staying up
past my b bedtime","Enjoying time with someone and staying up late.
"
"Praying for you as
 well Man of God Be blessed and
have a peaceful day","A prayer for blessings and peace.
"
"i forget how time
 works sometimes it's just sort of
how i am i guess","The speaker is musing on their faulty perception of time.
"
"My girlfriend and I
 have opposite schedules and
it's the saddest thing","A couple's conflicting schedules cause them sadness.
"
"I person who pray
 five times a day and have beard
I never trust him","Distrust of a religious man.
"
"Life is a magic
 moment You just have to learn
how to perform Lloyd","Life's magic is unlocked through learning and performance.
"
"Going vegan is
 the least we can do for the
animals the earth","Veganism is a compassionate choice for animals and the planet.
"
"cant believe i got
 this drunk from one glass of red
wine whats wrong with me","Unexpectedly strong effect of alcohol.
"
"I'm convinced I have
 met the best person in the
world Such a kind heart","Meeting someone with a kind heart.
"
"Patience is when you're
 supposed to get mad but you
chose to understand","Choosing understanding over anger is patience.
"
"Niall Horan is
 a rough diamond that needs no
polishing at all","Niall Horan is perfect as he is.
"
"I'm driving Call me
 or I'll see your message when
I get to where I","A person is driving and asks to be called instead of messaged.
"
"And water does not
 clean you out as I don't drink
much of it at all","Dehydration and lack of cleansing.
"
"The sequel to The
 Social Network is going
to be excellent","Anticipation for a great sequel.
"
"good morning sir from
 a fellow man of God and
a fellow Cowboy","A greeting from one man to another, identifying shared faith and a cowboy lifestyle.
"
"Sometimes you're played as
 the fool and for me It tends
to happen a lot","Being frequently made a fool of.
"
"That's per employee
 not including incentive
programs benefits","Employee costs excluding incentives.
"
"The hut itself smells
 rancid The crows smell good like
cinnamon oatmeal","A contrast between unpleasant and pleasant smells in a rural setting.
"
"Eating because im
 depressed or depressed because
im eating who knows","A cycle of eating and depression.
"
"I beg to differ
 You said my weed was shit and
it's not You were wrong","Disagreement over the quality of weed.
"
"Somewhere deep in the
 pits of Hell Art Modell is
laughing his ass off","Art Modell is in hell and enjoying it.
"
"oh they were being
 serious when they said they
are changing their names","People are changing their names, and the speaker is surprised at their seriousness.
"
"Ian Dempsey is
 playing This Morning on the
show at the moment","Ian Dempsey is on the radio.
"
"My objection why
 does it make you look gross Oh
because one IS gross","A gross person is objecting to being perceived as gross.
"
"The fattest dog came
 bounding into my office
this morning DAY MADE","A fat dog's joyful arrival brightens the speaker's day.
"
"You believe their lies
 because in the end you trust
no one but yourself","Distrust and self-reliance stemming from perceived deception.
"
"Has Jacques always been
 on grapevine or have I not
watched it in so long","A person wonders if a bird (Jacques) has always been on a grapevine or if their memory is failing them.
"
"oH MY FUCKING GOD
 HANK HILL IN KINGDOM HEARTS IS
MY DREAM CROSSOVER","Excited reaction to a humorous Kingdom Hearts and King of the Hill crossover concept.
"
"Quit trying to make
 Reebok happen It's never
going to happen","Reebok's popularity will not return.
"
"Trump can share credit
 for government shutdown with
coward Paul Ryan","Trump and Ryan share blame for a government shutdown.
"
"I hate those friendships
 that just end for no reason
you just stop talking","Friendships can end inexplicably and painfully.
"
"Going to repair
 shops is like taking my car
to the hospital","Car repair is like taking a car to the hospital.
"
"The horror moment
 your kids for their tea but it's
something you don't have","A parent realizes they lack ingredients for their children's tea.
"
"Women can fake the
 feelings but men can fake a
whole relationship","Men can deceive in relationships more completely than women can fake emotions.
"
"Mood Healing from my
 super long nap talking with
an angel I love","Waking from a long nap and feeling comforted by a loving, possibly divine, presence.
"
"This man sitting next
 to me is breathing so hard
smacking on his gum","Annoyance at a gum-smacking, heavy-breathing neighbor.
"
"MOST INTELLECT DO
 NOT BELIEVE IN GOD BUT THE
FEAR IS JUST THE SAME","Smart people may not believe in God, but they still fear death.
"
"Nothing feels better
 than accomplishing the goals
i set for myself","Achieving personal goals brings immense satisfaction.
"
"Playing young players
 is great But willock looks out
of place Sub him off","A young player is struggling and needs to be substituted.
"
"Uh greetings to you
 there miss The young blonde would say
as he approached her","A young blonde man greets a woman.
"
"I will always hug
 you may it be on time of
success or defeat","Unconditional support through hugs.
"
"Sometimes It's Better
 To Leave Shit In The Past It's
There For A Reason","Let go of the past; it's best left behind.
"
"if I was outside
 of that tour bus at the time
I would have died I'm","Near-death experience averted by being on a bus.
"
"This road are getting
 a bit sick can we change the
topic on death please","A plea to change a morbid topic.
"
"stares into distance
 ill never be close to the
term future girlfriend","Loneliness and unfulfilled longing for a future relationship.
"
"She doesn't want to
 go to sleep She's trying to
watch Criminal Minds","A person is resisting sleep to watch a TV show.
"
"Just because you could
 spell your child's name a weird way
doesn't mean you should","A warning against unconventional spelling of children's names.
"
"Sometimes the comment
 section is funnier than
the actual tweet","Online humor: comments outshining the original tweet.
"
"Having a good day
 so I just impulse bought a
sweet denim jacket","A spontaneous purchase of a denim jacket enhances a good day.
"
"I need a detailed
 car wash but I want to stay
home not wait on it","Wants a car wash at home.
"
"Needing to leave the
 house but being to sad to
is so FRUSTRATING","Sadness prevents leaving home, causing frustration.
"
"i suppose it's time
 to turn into a savage
on the so called friends","A person is contemplating becoming ruthless towards their so-called friends.
"
"I'm just still confused
 out of all hotels why would
it be the Hampton","Confusion and disappointment about ending up at a Hampton Inn.
"
"I am waiting for
 your thoughts on this mess Worst Nets
move has to be Crabbe","Expresses disappointment about a bad move by the Nets, possibly involving Crabbe.
"
"When your parents won't
 let you drive the new car yet
but I helped pick it","Frustration of not being able to drive a car you helped choose.
"
"If I'm fasting from
 sweets for Lent can I count Pi
Day as a feast day","A person considers bending Lent rules to celebrate Pi Day with sweets.
"
"Friends of Friends Corrupt
 builders cheaters looters and
corrupt officials","Corruption among interconnected individuals.
"
"Like the colors in
 autumn So bright just before
they lose it all Red","Autumn's vibrant but fleeting beauty.
"
"I was having such
 a peaceful nap until a
bad dream woke me up","A peaceful nap is interrupted by a nightmare.
"
"You deserve the world
 and one day I'll find out how
to give it to you","A promise to give the world to someone deserving.
"
"If you are feeling
 awesome i'm proud of you keep
that good mood going","Encouragement to maintain a positive mood.
"
"You are searching the
 world for treasure but the real
treasure is Yourself","The true treasure lies within oneself, not in external pursuits.
"
"I cannot believe
 I woke up sick I cannot
catch a fucking break","Waking up sick and frustrated.
"
"starting the new year
 off by eating popcorn and
chocolate for breakfast","A non-traditional, indulgent start to the new year.
"
"Instead of going
 to celebrate I'm taking
my arse home I've changed","The speaker abandons planned celebrations, choosing to go home instead, indicating a change of heart.
"
